Away_Team,Full_Team_Name
DIAMONDBACKS,Arizona Diamondbacks
BRAVES,Atlanta Braves
ORIOLES,Baltimore Orioles
RED SOX,Boston Red Sox
CUBS,Chicago Cubs
WHITE SOX,Chicago White Sox
REDS,Cincinnati Reds
GUARDIANS,Cleveland Guardians
ROCKIES,Colorado Rockies
TIGERS,Detroit Tigers
ASTROS,Houston Astros
ROYALS,Kansas City Royals
ANGELS,Los Angeles Angels
DODGERS,Los Angeles Dodgers
MARLINS,Miami Marlins
BREWERS,Milwaukee Brewers
TWINS,Minnesota Twins
METS,New York Mets
YANKEES,New York Yankees
ATHLETICS,Oakland Athletics
PHILLIES,Philadelphia Phillies
PIRATES,Pittsburgh Pirates
PADRES,San Diego Padres
GIANTS,San Francisco Giants
MARINERS,Seattle Mariners
CARDINALS,St. Louis Cardinals
RAYS,Tampa Bay Rays
RANGERS,Texas Rangers
BLUE JAYS,Toronto Blue Jays
NATIONALS,Washington Nationals
